Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,URLIdRecursoCategoria,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,DescripZona,Path,ImgFichero,Tipo,ESTILO,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"5119","Palacio Marqués de San Adrián","Palacio Marqués de San Adrián","Patrimonio","","","4358","05020400","TUDELA","La Ribera","05\02\04\00\","5119FotoTH1.jpg","Castillos/Palacios","Renacentista","","615502","4657787","NO"
"3153","Palacio Real de Olite","Palacio Real de Olite","Patrimonio","","","4316","05020400","OLITE","Zona Media","05\02\04\00\","3153FotoTH1.JPG","Castillos/Palacios","","","610959","4704126","NO"
"5144","Palomeras de Etxalar","Palomeras de Etxalar","Patrimonio","","","4359","05021800","ETXALAR","Pirineos","05\02\12\00\","5144FotoTH1.jpg","Patrimonio etnográfico","","","612489","4790119","NO"
"3006","Parque Eólico de la sierra de El Perdón","Parque Eólico de la sierra de El Perdón","Patrimonio","","","4262","05020800","ZARIQUIEGUI","Cuenca de Pamplona","05\02\08\00\","3006FotoTH2.JPG","Obras de ingeniería","","","603401","4732181","NO"
"3031","Plaza de los Fueros","Plaza de los Fueros","Patrimonio","","","4274","05021900","TUDELA","La Ribera","05\02\00\00\","3031FotoTH1.jpg","Plazas","","","615363","4657558","NO"
"8478","Plaza de Toros de Pamplona","Plaza de Toros de Pamplona","Patrimonio","","","8423","05021200","PAMPLONA","Cuenca de Pamplona","05\02\12\00\","8478FotoTH1.JPG","Otros","","","611097","4741276","NO"
"3032","Puente del Ebro","Puente del Ebro","Patrimonio","","","4275","05020800","TUDELA","La Ribera","05\02\08\00\","3032FotoTH1.JPG","Obras de ingeniería","Otros","","615710","4658095","NO"
"3157","Puente Románico de Puente la Reina","Puente Románico de Puente la Reina","Patrimonio","","","4320","05020800","PUENTE LA REINA","Zona Media","05\02\08\00\","3157FotoTH1.jpg","Obras de ingeniería","Románico","","596823","4725001","NO"
"2924","Recinto Amurallado de Rada","Recinto Amurallado de Rada","Patrimonio","7599","","7599","05020600","MURILLO EL CUENDE","La Ribera","04\04\01\00\","2924FotoTH1.jpg","Restos arqueológicos","Románico","","613962","4688557","NO"
"3140","Retablo de San Miguel de Aralar","Retablo de San Miguel de Aralar","Patrimonio","","","4307","05021100","UHARTE-ARAKIL","Pirineos","05\02\11\00\","3140FotoTH1.jpg","Orfebrería","Románico","","584281","4755466","NO"
"4590","Ruta de los Crómlech","Ruta de los Crómlech","Patrimonio","","","4345","05020700","GOIZUETA","Pirineos","05\02\07\00\","4590FotoTH1.jpg","Monumentos megalíticos","Prehistoria","","592345","4780531","NO"
"3172","Ruta de los Dólmenes de Aralar","Ruta de los Dólmenes de Aralar","Patrimonio","","","4333","05020700","ETXARRI-ARANATZ","Pirineos","05\02\06\00\","3172FOTOTH1.jpg","Monumentos megalíticos","Prehistoria","","584185","4757756","NO"
"5237","Santa Catalina de Alejandría","Santa Catalina de Alejandría","Patrimonio","","","4362","05020100","AZCONA","Zona Media","05\02\01\00\","5237FotoTH1.jpg","Iglesias y ermitas","Románico","","582385","4732268","NO"
"3063","Santa Fe de Urraúl Alto","Santa Fe de Urraúl Alto","Patrimonio","","","4282","05020100","EPÁROZ","Pirineos","05\02\01\00\","3063FotoTH1.jpg","Iglesias y ermitas","Románico","","643494","4737382","NO"
"3167","Santuario de Nuestra Señora de Codés","Santuario de Nuestra Señora de Codés","Patrimonio","","","4330","05020100","TORRALBA DEL RÍO","Zona Media","05\02\01\00\","3167FotoTH1.JPG","Iglesias y ermitas","Barroco","","554471","4719254","NO"
"3062","Santuario de San Miguel de Aralar","Santuario de San Miguel de Aralar","Patrimonio","","","4281","05020100","UHARTE-ARAKIL","Pirineos","05\02\01\00\","3062FOTOTH1.jpg","Iglesias y ermitas","Románico","","584281","4755466","NO"
"4161","Torre de Donamaria","Torre de Donamaria","Patrimonio","","","4340","05020400","DONAMARIA","Pirineos","05\02\04\00\","4161FotoTH1.jpg","Castillos/Palacios","Gótico","","607287","4774164","NO"
"3143","Torre Monreal","Torre Monreal","Patrimonio","","","4308","05020400","TUDELA","La Ribera","05\02\04\00\","3143FotoTH1.jpg","Castillos/Palacios","Otros","","615321","4657250","NO"
"5854","Torre Palaciana de Olcoz","Torre Palaciana de Olcoz","Patrimonio","","","5723","05020400","OLCOZ","Zona Media","05\02\05\00\","5854FotoTH1.JPG","Castillos/Palacios","Renacentista","","608021","4724532","NO"
"7345","Yacimiento arqueológico de Santa Criz","Yacimiento arqueológico de Santa Criz","Patrimonio","","","7275","05020600","ESLAVA","Zona Media","05\02\06\00\","7345FotoTH1.JPG","Restos arqueológicos","Romano","","626448","4713656","NO"
"5112","Yacimiento arqueológico Villa romana de Liédena","Yacimiento arqueológico Villa romana de Liédena","Patrimonio","","","4356","05020600","LIÉDENA","Zona Media","05\02\06\00\","5112FotoTH1.JPG","Restos arqueológicos","Romano","","639093","4720301","NO"

