;COD. INSCRIPCIÓN;NOMBRE;MODALIDAD;CATEGORIA;DIRECCIÓN;LOCALIDAD;MUNICIPIO;ZONA;PLAZAS;FECHA DE INSCRIPCION
PAMPLONA;;;;;;;;;;
;UAT00745;Gestión De Alojamientos XXVI;Apartamento Turístico;Primera/3 Llaves;Pio XXII 24 ESC. IZDA 6º D;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;25/01/2018 0:00:00
;UAT00741;Gestión De Alojamientos XXVII;Apartamento Turístico;Segunda/2 Llaves;La Rioja  1 3º F;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;6;22/01/2018 0:00:00
;UAT00743;Gestión De Alojamientos XXVIII;Apartamento Turístico;Primera/3 Llaves;Pintor Paret 4 3º C;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;25/01/2018 0:00:00
;UH000023;Gran Hotel La Perla;Hotel;5 Estrellas;del Castillo 1;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;87;13/08/2007 0:00:00
;UAT00685;Hemingway;Apartamento Turístico;Segunda/2 Llaves;Joaquin Jarauta 46 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;30/11/2017 0:00:00
;UAT00791;Hogar de San Fermín;Apartamento Turístico;Primera/3 Llaves;Santo Domingo  27 Bis 1º;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;14/03/2018 0:00:00
;UAT00986;Home Sweet home - Main St Pamplona;Apartamento Turístico;Tercera/1 Llave;Calle Mayor 46;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;17/12/2019 0:00:00
;UAT01029;Ibarrenea;Apartamento Turístico;Segunda/2 Llaves;Calle de San Antón 29;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;2;17/06/2020 0:00:00
;UAT01011;Irati;Apartamento Turístico;Tercera/1 Llave;Río Araxes 5 1º Dcha;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;17/03/2020 0:00:00
;UAT00295;Iruña;Apartamento Turístico;Segunda/2 Llaves;Travesía Acella 7 4ºB;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;26/11/2013 0:00:00
;UAT00406;Iruña II;Apartamento Turístico;Segunda/2 Llaves;Pío XIi 30 Esc Dcha 7ºA;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;13/06/2015 0:00:00
;UH000027;Iruña Palace. Tres Reyes;Hotel;4 Estrellas;Paseo de la Taconera S/N;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;336;21/03/1963 0:00:00
;UAT01018;Irunlarrea;Apartamento Turístico;Tercera/1 Llave;Irunlarrea 8 Bis-1º F;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;04/05/2020 0:00:00
;UAT01012;Isaac;Apartamento Turístico;Tercera/1 Llave;Isaac Albéniz 2 1º Dcha;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;5;17/03/2020 0:00:00
;UAT00596;Jarauta;Apartamento Turístico;Tercera/1 Llave;Joaquin Jarauta 18 3º D;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;03/07/2017 0:00:00
;UAB00079;Jesús y María;Albergue turístico;del Camino de Santiago;Compañia 4;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;112;30/05/2014 0:00:00
;UAT00369;Juanito´s Apartments;Apartamento Turístico;Primera/3 Llaves;Calle de la Estafeta 83;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;4;09/01/2015 0:00:00
;UAT00668;La Merced;Apartamento Turístico;Tercera/1 Llave;Calle de la Merced 27;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;3;25/10/2017 0:00:00
;UAT00185;La Montañesa I, II y III;Apartamento Turístico;Segunda/2 Llaves;Calle San Gregorio 2;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;8;05/10/2010 0:00:00
;upe00694;La Residencia;Pensión;P*;Bergamín 45 4º Dcha;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;12;01/07/1998 0:00:00
;upe00721;La Residencia 2;Pensión;P*;Roncesvalles 2 5º Dcha;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;12;28/03/2000 0:00:00
;upe00740;La Residencia 3;Pensión;P*;Iturralde y Suit, 1 1º centro 0;PAMPLONA;PAMPLONA <> IRUÑA                                                                                   ;Cuenca de Pamplona;9;26/12/2001 0:00:00
