CÓDIGO,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,ZONA,PLAZAS,COORDENADAS
UAT00266,Berria,Apartamento Turístico,Segunda/2 Llaves,Calle Nueva 111,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8161499, -1.6471374)"
UH000606,Blanca de Navarra,Hotel,4 Estrellas,Av. de Pío XII 43,PAMPLONA,Cuenca de Pamplona,204.0,"(40.4647193, -3.6759661)"
UAT00411,Blanco Rojo,Apartamento Turístico,Primera/3 Llaves,Calle Navas de Tolosa 11,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8152341, -1.6481961)"
UAT00649,Buen Camino,Apartamento Turístico,Segunda/2 Llaves,Calle Navarreria 27 1º Dcha,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8196199, -1.642544)"
UAT00988,Calderería Apartment,Apartamento Turístico,Tercera/1 Llave,Calle Calderería 20,PAMPLONA,Cuenca de Pamplona,3.0,"(37.17793810000001, -3.5965656)"
UAT00585,Calderería I,Apartamento Turístico,Segunda/2 Llaves,Calle Calderería  36,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8180073, -1.6417368)"
UAT00678,Capricho Nago,Apartamento Turístico,Tercera/1 Llave,Calle San Gregorio 17,PAMPLONA,Cuenca de Pamplona,2.0,"(40.4240012, -3.6972318)"
UAT00669,Carmen,Apartamento Turístico,Segunda/2 Llaves,Del Carmen 25 2º C,PAMPLONA,Cuenca de Pamplona,4.0,"(20.6295586, -87.0738851)"
UAT01042,Carpe Diem,Apartamento Turístico,Lujo/4 Llaves,Navarro Villoslada 18 Bajo,PAMPLONA,Cuenca de Pamplona,5.0,"(42.81100319999999, -1.6430621)"
UAT00570,Casa Ana Mari I,Apartamento Turístico,Tercera/1 Llave,Calle Calderería 16 3º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8183014, -1.6421742)"
UAT00426,Casa de los Sanfermines,Apartamento Turístico,Tercera/1 Llave,Plaza Consistorial 1,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8181555, -1.6437199)"
UAT00574,Casa Iruña,Apartamento Turístico,Tercera/1 Llave,Calle Calderería 30,PAMPLONA,Cuenca de Pamplona,2.0,"(37.177942, -3.596342399999999)"
UAT00640,Casco Historico Pamplona,Apartamento Turístico,Tercera/1 Llave,Tejeria 40 3ºD,PAMPLONA,Cuenca de Pamplona,4.0,"(19.1734082, -96.2229948)"
UH000789,Castillo de Javier,Hotel,1 Estrella,"Calle San Nicolás, 50",PAMPLONA,Cuenca de Pamplona,22.0,"(42.8162167, -1.6448845)"
UAT00537,Center Pamplona Apartment,Apartamento Turístico,Primera/3 Llaves,Mañueta 7 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8190299, -1.6434273)"
UAT00608,Centro,Apartamento Turístico,Segunda/2 Llaves,Calle San Gregorio 18,PAMPLONA,Cuenca de Pamplona,3.0,"(38.3678442, -0.5046107)"
UAT01013,Centro Histórico,Apartamento Turístico,Tercera/1 Llave,Joaquín Jarauta 79 1º izda,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8181778, -1.6483638)"
UAT00688,Cerca del Centro,Apartamento Turístico,Tercera/1 Llave,Av. Marcelo Celayeta 49,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8268571, -1.652445)"
UAT00476,Charming Heritage Home,Apartamento Turístico,Tercera/1 Llave,Calle Zapatería 58,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8169233, -1.6450566)"
UAT00622,City Center Apartment,Apartamento Turístico,Segunda/2 Llaves,Calle Leyre 20,PAMPLONA,Cuenca de Pamplona,1.0,"(42.8134875, -1.6403674)"
UAT00733,Consistorio House 2,Apartamento Turístico,Segunda/2 Llaves,Calceteros 2 5º A,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8179406, -1.6437737)"
UAT00750,Dormitaleria 22,Apartamento Turístico,Tercera/1 Llave,Dormitaleria 22 5º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8190096, -1.6412196)"
UAT00371,Downtown I,Apartamento Turístico,Segunda/2 Llaves,Calle San Nicolás 4 ,PAMPLONA,Cuenca de Pamplona,6.0,"(28.1023007, -15.4169835)"
UPE00885,El Camino Urban Rooms,Pensión,P*,Calle San Gregorio 12,PAMPLONA,Cuenca de Pamplona,20.0,"(42.8157012, -1.6459866)"
UAT00654,El Desván de San Antón,Apartamento Turístico,Primera/3 Llaves,Calle de San Antón 28 5º,PAMPLONA,Cuenca de Pamplona,4.0,"(40.4228745, -3.6982822)"
UAT01019,El Mirador de la Cuesta de Santo Domingo,Apartamento Turístico,Primera/3 Llaves,Cuesta Santo Domingo 35 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8188821, -1.6453988)"
UAT00621,El Mirador de la Estafeta,Apartamento Turístico,Tercera/1 Llave,Calle de la Estafeta 5,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8183219, -1.6427337)"
UAT01021,El Oasis de la Estafeta,Apartamento Turístico,Primera/3 Llaves,Calle de la Estafeta 63,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8168252, -1.6415939)"
UPE00637,El Paseo,Pensión,P**,Paseo de Pablo Sarasate Pasalekua 30,PAMPLONA,Cuenca de Pamplona,11.0,"(42.8152901, -1.6459576)"
UAT01102,El Rincón de los sueños,Apartamento Turístico,Segunda/2 Llaves,San Antón 73 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(40.2434604, -3.7674374)"
UAT00719,En el centro de  Mercaderes II,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 8 4º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.4677227, -2.445485300000001)"
UAT00661,En el centro de Mercaderes,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 8 3º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.4677227, -2.445485300000001)"
