CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
ur000497,El Espejo,Restaurantes,Sin definir,"Ciudadela, 9-11 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8153509, -1.6472091)"
UR000408,El Figón,Restaurantes,Segunda/2 Tenedores,Pintor Asenjo 12,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8092918, -1.6572152)"
UR000954,El Halcón,Restaurantes,Sin definir,Olite 36 bajo,PAMPLONA,Cuenca de Pamplona,Rápida,"(42.481425, -1.6509768)"
UR000991,El Mercao,Restaurantes,Primera/3 tenedores,Tafalla 7,PAMPLONA,Cuenca de Pamplona,"Casera o regional, Innovadora, Oriental","(42.5257641, -1.6731842)"
UR000160,El Mosquito,Restaurantes,Segunda/2 Tenedores,Virgen de Ujué 3,PAMPLONA,Cuenca de Pamplona,Marisquería,"(42.8132589, -1.6632872)"
ur000862,El Paseo,Restaurantes,Sin definir,Guitarrista Sabicas 4,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8259253, -1.6349422)"
UC000178,El Patio de las Comedias,Cafeterías,Segunda/1 Taza,"Calle Comedias,12 ",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(39.4730231, -0.3725065)"
uc000160,El Recreo,Cafeterías,Segunda/1 Taza,Iturrama 22,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8054064, -1.6542101)"
ur000670,El Redin,Restaurantes,Sin definir,Mercado 5,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(41.5399951, -88.2035798)"
ur000789,El Retaco,Restaurantes,Sin definir,Esquíroz 5,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8068964, -1.6490876)"
UR000131,El Rincón,Restaurantes,Sin definir,Joaquín Beunza 12,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8220037, -1.6510559)"
uc000162,El Ruedo,Cafeterías,Segunda/1 Taza,Olite 4,PAMPLONA,Cuenca de Pamplona,No definida,"(42.4817239, -1.6493899)"
UR000136,El Txoko del Sadar,Restaurantes,Sin definir,Sadar 0 S/N,PAMPLONA,Cuenca de Pamplona,Asador,"(42.7966766, -1.6371204)"
UR000137,El Volante,Restaurantes,Sin definir,Merkatondoa 2,ESTELLA,Zona Media,Casera o regional,"(42.66368, -2.03243)"
UR000400,Enekorri,Restaurantes,Lujo/ 4 Tenedores,Tudela 14,PAMPLONA,Cuenca de Pamplona,"De autor, Innovadora","(25.9555423, -97.49219839999999)"
ur000108,Erburu,Restaurantes,Sin definir,Calle San Lorenzo 19,PAMPLONA,Cuenca de Pamplona,No definida,"(40.4248646, -3.6982029)"
UR001071,Europa,Restaurantes,Lujo/ 4 Tenedores,Calle Espoz y Mina 11,PAMPLONA,Cuenca de Pamplona,"Casera o regional, Innovadora","(42.8162102, -1.6417963)"
UR000038,Florida,Restaurantes,Sin definir,Av. de Carlos III el Noble Etorbidea 24,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.812242, -1.6384513)"
UR131045,Florida,Restaurantes,Sin definir,De los Fueros 15 bajo,ESTELLA,Zona Media,"Casera o regional, De tapas y raciones","(42.8438787, -2.6699281)"
UR001022,Fosters Hollywood,Restaurantes,Tercera/1 tenedor,Paulino Caballero 5,PAMPLONA,Cuenca de Pamplona,"Internacional, Rápida","(42.8141631, -1.6416216)"
ur000486,Galar,Restaurantes,Sin definir,Joaquín Maya 15,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8146603, -1.648022)"
ur000767,Galeria,Restaurantes,Sin definir,Polígono Agustinos. Centro Com 0,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8307491, -1.6733266)"
UR001077,Gares,Restaurantes,Segunda/2 Tenedores,Los Fueros 38,PUENTE LA REINA,Zona Media,Casera o regional,"(40.3703304, -3.6907401)"
ur000462,Garralda,Restaurantes,Sin definir,Martín Azpilicueta 14,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8138573, -1.6627857)"
ur000436,Garrick,Restaurantes,Sin definir,Iturrama 20,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.805359, -1.65405)"
ur000259,Goal,Restaurantes,Sin definir,Calle Jarauta 56,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(20.6721404, -103.3315677)"
UR000162,Gran Muralla I,Restaurantes,Sin definir,Av. de Pío XII 2,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8133227, -1.6552718)"
ur000161,Hemingway,Restaurantes,Sin definir,Luis Morondo 15,PAMPLONA,Cuenca de Pamplona,No definida,"(42.8003824, -1.6462804)"
UR000941,Hostería del Temple,Restaurantes,Tercera/1 tenedor,Calle Curia 3,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8189325, -1.6425943)"
ur000748,Iceberg,Restaurantes,Sin definir,Barañain 64,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.805586, -1.6731806)"
